Lens ID,Country,Publication Date,Publication Year,Title,Assignee (Applicant),Primary Assignee,Technology Category,Application Area,Abstract,URL
129-311-800-485-787,United States,2024-04-16,2024,Battery systems based on lithium difluorophosphate,TESLA MOTORS CANADA ULC;;TESLA INC;;PANASONIC HOLDINGS CORP,TESLA MOTORS CANADA ULC,Battery Chemistry,General Applications,"A nonaqueous electrolyte for a lithium ion battery includes a lithium salt, a first nonaqueous solvent, and an additive mixture comprising a first operative additive of lithium difluorophosphate and a second operative additive of either fluoro ethylene carbonate or vinylene carbonate. A lithium-ion battery includes a negative electrode, a positive electrode comprising NMC with micrometer-scale grains, a nonaqueous electrolyte having lithium ions dissolved in a first nonaqueous solvent, and an additive mixture having a first operative additive of either fluoro ethylene carbonate or vinylene carbonate and a second operative additive of either 1,3,2-dioxathiolane-2,2-dioxide, another sulfur-containing additive, or lithium difluorophosphate.",https://lens.org/129-311-800-485-787
118-430-914-585-447,China,2024-12-13,2024,"Thermal runaway management method, thermal runaway management system and battery pack",WUHAN YIWEI ENERGY STORAGE CO LTD,WUHAN YIWEI ENERGY STORAGE,Thermal & Safety,General Applications,"The invention discloses a thermal runaway management method, a thermal runaway management system and a battery pack. The thermal runaway management method comprises the following steps: acquiring first temperature information acquired by a battery cell monitoring module at a battery cell in a battery pack, second temperature information acquired by a temperature monitoring circuit at the battery cell, and first acquisition information of a fire-fighting assembly in the battery pack; and when at least one of the first temperature information, the second temperature information and the first acquisition information is abnormal, determining a geothermal runaway area in the battery pack, controlling the fire-fighting assembly to execute fire extinguishing in the battery pack, and controlling the gas collection assembly to collect gas in the battery pack, so that the monitoring of the thermal runaway of the battery cell is realized, and the safety of the battery cell is improved. And moreover, thermal runaway diffusion in the battery pack can be controlled in time, and waste gas generated by thermal runaway can be treated in time after the battery cells trigger thermal runaway, so that the safety and reliability of the battery pack are effectively improved.",https://lens.org/118-430-914-585-447
161-013-105-514-878,China,2024-12-31,2024,Thermal runaway alarm method and device,CHERY AUTOMOBILE CO LTD,CHERY AUTOMOBILE,Thermal & Safety,Electric Vehicles,"The invention provides a thermal runaway alarm device and method, and belongs to the technical field of battery thermal runaway. The method comprises the steps that a thermal battery module supplies power to a battery management module after the temperature reaches a first threshold value and is activated, a first power management module is connected with a control module, and then the first power management module supplies power to the control module according to the power supply state of the thermal battery module; therefore, the control module gives a thermal runaway alarm when the temperature reaches the second threshold value, and the safety and reliability of lithium battery management are improved.",https://lens.org/161-013-105-514-878
069-925-115-659-648,China,2024-01-23,2024,Lithium ion battery life abnormity detection method,UNIV NANCHANG,UNIV NANCHANG,Others,Electric Vehicles,"The invention provides a lithium ion battery life anomaly detection method, which comprises the following steps of: calibrating coulombic efficiency of a target lithium ion battery to obtain two coulombic efficiency curves, and further obtaining a modified equation of a first fitting curve and a modified equation of a second fitting curve; secondly, for an electric vehicle loaded with a lithium ion battery with the same model as the target lithium ion battery, the coulombic efficiency ys and the number of circulation turns of the lithium ion battery of the electric vehicle are obtained, a standard coulombic efficiency upper limit value ymax and a standard coulombic efficiency lower limit value ymin are obtained based on the number of circulation turns of the lithium ion battery of the electric vehicle, and if ys is larger than ymax or ys is smaller than ymin, the coulombic efficiency of the lithium ion battery of the electric vehicle is judged to be larger than ymax or smaller than ymin. The electric vehicle lithium ion battery life detection method has the advantages of being low in cost and short in consumed time.",https://lens.org/069-925-115-659-648
198-377-629-926-785,United States,2024-02-01,2024,CELL BALANCING METHOD AND CELL BALANCING SYSTEM,SUBARU CORP,SUBARU,Others,Electric Vehicles,"A cell balancing method includes: setting predicted standing time, based on a statistic value of standing time collected over a predetermined period of time; estimating a capacity retention rate of each of cells of a lithium-ion battery at a next start-up after a lapse of the predicted standing time; on the condition that a difference in the estimated capacity retention rate between a maximum value and a minimum value becomes greater than a predetermined value, setting state-of-charge adjustment values for one or both of a cell having the maximum value and a cell having the minimum value; and allowing, during the stoppage of the electric vehicle, a state-of-charge adjustment device to adjust the states of charge of one or both of the cell having the maximum value and the cell having the minimum value to the state-of-charge adjustment values.",https://lens.org/198-377-629-926-785
012-536-168-831-600,United States,2024-10-03,2024,"IN-VEHICLE POWER SUPPLY SYSTEM, CHARGE/DISCHARGE CONTROL DEVICE, AND VEHICLE",SUBARU CORP,SUBARU,Charging Technology,Electric Vehicles,"An in-vehicle power supply system includes a first power storage device including one or more lithium ion secondary batteries, a second power storage device connected in parallel to the first power storage device, and a charge/discharge control device. The second power storage device includes lithium ion capacitor groups constituted by a first capacitor group including one or more lithium ion capacitors and a second capacitor group connected in parallel to the first capacitor group and including one or more lithium ion capacitors. The charge/discharge control device controls charging/discharging of the first and second power storage devices to supply electric power to a drive source of a vehicle and recovers regenerative energy of the vehicle. When the first capacitor group discharges electric power preferentially over the second capacitor group, the charge/discharge control device performs control such that the second capacitor group is charged preferentially over the first capacitor group.",https://lens.org/012-536-168-831-600
132-010-948-675-535,United States,2024-03-12,2024,"Lithium-ion secondary battery and related preparation method thereof, battery module, battery pack and apparatus",CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,CONTEMPORARY AMPEREX TECHNOLOGY,Battery Chemistry,General Applications,"A lithium-ion secondary battery and related preparation method thereof, battery module, battery pack and apparatus. The lithium-ion secondary battery includes a positive electrode plate, a negative electrode plate, an electrolyte and a separator, wherein the positive electrode plate includes a positive electrode current collector and a first positive electrode active material layer and a second positive electrode active material layer sequentially disposed on at least one side of the positive electrode current collector; the lithium-ion secondary battery satisfies: −1≤log10(u/v)×w≤15.5, wherein, u is a thickness of the first positive electrode active material layer in microns, v is a thickness of the second positive electrode active material layer in microns, w is a conductivity of the electrolyte at a temperature of 25° C. in mS·cm−1. The lithium-ion secondary battery has excellent performance such as low discharge resistance at low SOC and low gas production at high temperature.",https://lens.org/132-010-948-675-535
082-510-779-001-423,United States,2024-09-05,2024,"BOX, BATTERY, ELECTRIC APPARATUS, AND APPARATUS FOR MANUFACTURING BATTERY",CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,CONTEMPORARY AMPEREX TECHNOLOGY,Thermal & Safety,General Applications,"Embodiments of this application provide a box, a battery, an electric apparatus, and an apparatus for manufacturing battery. The box includes a thermal management component, where the thermal management component is configured to regulate temperature of a battery cell; and a protective plate, disposed at a side of the thermal management component away from the battery cell and configured to protect the thermal management component. The thermal management component is provided with a first snap-fitting portion, and the protective plate is provided with a second snap-fitting portion. The first snap-fitting portion and the second snap-fitting portion are snap-fitted to connect the thermal management component and the protective plate. The box, the battery, the electric apparatus, and the apparatus for manufacturing battery in the embodiments of this application can improve the safety of batteries.",https://lens.org/082-510-779-001-423
109-263-541-426-221,United States,2024-09-19,2024,ULTRA-FAST CHARGING METHOD FOR FORKLIFT BATTERY,GREEN CUBES TECH LLC,GREEN CUBES TECH,Charging Technology,Electric Vehicles,"Electric powered forklifts or cleaning machine have attracted much attention in the last decade because of their very substantial benefits. The main issue facing the efficiency of Electric forklifts is the charging time needed for the battery pack. To achieve the Ultra-fast charging for the battery. An AC-DC or DC-DC converter is added inside the battery compartment. The converter enables the charger to supply high power and voltage as the converter step-down the voltage to the standard battery voltage. By using this method, the charging time will be reduced without using big or bulky cables.",https://lens.org/109-263-541-426-221
069-320-715-854-736,United States,2024-03-07,2024,MIXED CATHODE UPCYCLING,WORCESTER POLYTECH INST,WORCESTER POLYTECH INST,Battery Chemistry,General Applications,"A method for recycling secondary battery charge materials includes a one-step molten-salt process to upcycle mixed Ni-lean polycrystalline NMC cathodes into Ni-rich single-crystal NMC cathodes. The method includes receiving a recycling stream of charge materials from end-of-lifetime batteries, adding additional charge materials based on an upcycled battery chemistry intended for the upgraded, recycled battery, and sintering the combined charge materials for generating a single crystal charge material corresponding to the upcycled battery chemistry using a molten salt direct recycling process.",https://lens.org/069-320-715-854-736
121-686-458-340-581,United States,2024-07-04,2024,BATTERY SYSTEMS BASED ON LITHIUM DIFLUOROPHOSPHATE,TESLA INC,TESLA,Battery Chemistry,General Applications,"A nonaqueous electrolyte for a lithium ion battery includes a lithium salt, a first nonaqueous solvent, and an additive mixture comprising a first operative additive of lithium difluorophosphate and a second operative additive of either fluoro ethylene carbonate or vinylene carbonate. A lithium-ion battery includes a negative electrode, a positive electrode comprising NMC with micrometer-scale grains, a nonaqueous electrolyte having lithium ions dissolved in a first nonaqueous solvent, and an additive mixture having a first operative additive of either fluoro ethylene carbonate or vinylene carbonate and a second operative additive of either 1,3,2-dioxathiolane-2,2-dioxide, another sulfur-containing additive, or lithium difluorophosphate.",https://lens.org/121-686-458-340-581
179-475-160-172-786,United States,2024-11-05,2024,Elevator emergency power systems and methods,KIM JUNKYEONG;;SEO MINJUN;;MORGAN DARIN;;MICRONOC INC,KIM JUNKYEONG,Charging Technology,Electric Vehicles,"A system to supply emergency power to an elevator includes one or more lithium batteries, an inverter coupled to the lithium batteries, a battery management system (BMS) coupled to the inverter, an Energy Management Software (EMS) coupled to the BMS, and a relay coupled to utility power, wherein the relay operates to provide utility power to the system and notifies the EMS that utility power is on, wherein the EMS initiates charging of the BMS system, wherein the BMS sends charging command to the inverter, which operates until the state of charge is 100%, where the inverter goes into a standby mode.",https://lens.org/179-475-160-172-786
066-759-678-853-233,United States,2024-11-21,2024,FLAME RESISTANT HEAT-TRANSFER TUBE,SOLVAY SPECIALTY POLYMERS USA,SOLVAY SPECIALTY POLYMERS USA,Thermal & Safety,General Applications,"A thermal management system is disclosed, in particular a battery thermal management system, as well as a flame resistant heat transfer tube for use in said thermal management system. The flame resistant heat transfer tube comprises a composition which contains at least one polyphenylsulfide polymer, at least one polyphenylsulfone polymer, and at least one thermoplastic elastomer containing epoxy functional groups. A method of cooling a battery and/or operating a battery comprising passing a heat transfer fluid, preferably a water/ethylene glycol mixture, in such a flame resistant heat transfer tube.",https://lens.org/066-759-678-853-233
147-623-157-296-906,European Patent Office,2024-01-17,2024,BATTERY AND ELECTRICAL DEVICE,CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,CONTEMPORARY AMPEREX TECHNOLOGY,Thermal & Safety,Electric Vehicles,"The present application discloses a battery and an electric device. The battery includes: a battery cell; a thermal management component configured for accommodating a fluid to adjust the temperature of the battery cell; a connector provided between the first surface of the battery cell and the thermal management component and used for making the thermal management component attached onto the first surface, wherein the first surface is a concave-convex surface. The technical solution provided by the present application can improve the safety of the battery.",https://lens.org/147-623-157-296-906
140-731-099-857-149,China,2024-03-01,2024,Hybrid thermal management system for fast charging of lithium ion power battery,UNIV CHAOHU,UNIV CHAOHU,Charging Technology,Electric Vehicles,"The hybrid thermal management system comprises a cover plate, a square battery cell, a thermal management device and a shell, the thermal management device is fixedly installed in the shell, the square battery cell is located in the thermal management device, and the cover plate is provided with a partition plate and is fixedly installed at a top opening of the shell; the cooling square tube in the heat management device can perform multi-surface heat dissipation on the battery, and air cooling can supplement liquid cooling, so that on one hand, heat dissipation is performed on the top of the battery, and on the other hand, hazardous gas can be discharged in time when the battery smokes. Besides, when the battery discharges and works, the battery thermal management system is improved through air cooling under the condition that liquid cooling maintains a certain flow, and the safety of the thermal management system is improved.",https://lens.org/140-731-099-857-149
