#,Lens ID,Jurisdiction,Publication Date,Publication Year,Title,Abstract,Applicants,Inventors,URL
1,004-805-490-009-407,US,2021-12-30,2021,CATHODE ACTIVE MATERIAL FOR LITHIUM ION BATTERIES FOR ELECTRIC VEHICLES,"A lithium ion batteries and electric vehicles including lithium ion batteries are provided. An exemplary lithium ion battery includes a cathode including a cathode active material comprising at least 50 wt. %, based on a total weight of the cathode active material, of LiFexMn(1-x)PO4, wherein X is from 0.01 to 0.5.",GM GLOBAL TECH OPERATIONS LLC,FORTIER MARY E;;TAN BING;;YANG LI;;VISWANATHAN UMA;;SAHARAN VIJAY P;;ZENG SHERMAN H,https://lens.org/004-805-490-009-407
2,005-634-116-685-723,EP,2024-07-03,2024,VENTED BATTERY MODULE AND METHOD,"A battery module, and associated methods are disclosed. In one aspect, a battery module includes thermal isolation structures with a structural support plate and an aerogel layer. Aspects of thermal isolation structures are shown that include a module cover contact located on a top end of a structural support plate.",ASPEN AEROGELS INC,WANG LIXIN;;STOW CHRISTOPHER;;NAM YOUNGGYU,https://lens.org/005-634-116-685-723
3,015-352-691-882-683,US,2019-09-12,2019,"NOVEL BATTERY SYSTEMS BASED ON TWO-ADDITIVE ELECTROLYTE SYSTEMS INCLUDING 1,2,6-OXODITHIANE-2,2,6,6-TETRAOXIDE","Improved battery systems with two-additive mixtures including in an electrolyte solvent that is a carbonate solvent, an organic solvent, a non-aqueous solvent, methyl acetate, or a combination of them. The positive electrode of the improved battery systems may be formed from lithium nickel manganese cobalt compounds, and the negative electrode of the improved battery system may be formed from natural or artificial graphite.",TESLA MOTORS CANADA ULC,DAHN JEFFERY RAYMOND;;MA XIAOWEI;;GLAZIER STEPHEN LAURENCE;;YOUNG ROBERT SCOTT,https://lens.org/015-352-691-882-683
4,046-358-541-869-661,US,2019-03-21,2019,"Hybrid Electric Vehicle, and Lithium Ion Secondary Battery Cell Selection Method for Hybrid Electric Vehicle","Provided is a hybrid electric vehicle in which, in accordance with the system side of the vehicle including a fuel economy-emphasized system, a wide use-range of the SOC of a lithium ion secondary battery cell can be utilized.",AUTOMOTIVE ENERGY SUPPLY CORP,OHARA KENJI;;TANAKA SHIN;;KAWAMURA FUMIHIRO;;AOYAGI MASANORI;;NISHIYAMA JUNKO,https://lens.org/046-358-541-869-661
5,064-213-046-648-760,US,2020-09-22,2020,Dioxazolones and nitrile sulfites as electrolyte additives for lithium-ion batteries,"Improved battery systems have been developed for lithium-ion based batteries. The improved systems include a nonaqueous electrolyte including one or more lithium salts, one or more nonaqueous solvents, and an additive or additive mixture comprising one or more operative additives selected from a group of disclosed compounds, including 3-aryl substituted 1,4,2-dioxazol-5-ones and 3-phenyl-1,3,2,4-dioxathiazole 2-oxide.",TESLA MOTORS CANADA ULC;;TESLA INC,DAHN JEFFERY RAYMOND;;HYNES TOREN;;HALL DAVID SCOTT,https://lens.org/064-213-046-648-760
6,077-934-367-877-662,US,2019-12-26,2019,DIOXAZOLONES AND NITRILE SULFITES AS ELECTROLYTE ADDITIVES FOR LITHIUM-ION BATTERIES,"Improved battery systems have been developed for lithium-ion based batteries. The improved systems include a nonaqueous electrolyte including one or more lithium salts, one or more nonaqueous solvents, and an additive or additive mixture comprising one or more operative additives selected from a group of disclosed compounds, including 3-aryl substituted 1,4,2-dioxazol-5-ones and 3-phenyl-1,3,2,4-dioxathiazole 2-oxide.",TESLA MOTORS CANADA ULC,DAHN JEFFERY RAYMOND;;HYNES TOREN;;HALL DAVID SCOTT,https://lens.org/077-934-367-877-662
7,080-678-794-077-078,US,2018-06-19,2018,Parallel charging and power supply system for pure electric vehicle,"A parallel charging and power supply system for a battery electric vehicle comprises a battery unit, a battery management system, a vehicle control unit, a motor controller and a motor, wherein a corresponding signal output end and a signal input end of the battery management system are respectively connected with a corresponding signal input end and a signal output end of the battery unit; the motor controller is respectively connected with a power output end of the battery unit, a power input end of the motor and a signal output end of the motor; a signal input end of the vehicle control unit is respectively connected with the corresponding signal output ends of the battery management system and the motor controller.",ADVANCED HIGH POWER MULTI ACT/XE SOURCE ENERGY SCIENCE TECH CO LTD;;ADVANCED HIGH POWER MULTI ACT/XE SOURCE ENERGY SCIENCE TECH CO LTD,WANG XU,https://lens.org/080-678-794-077-078
8,085-735-695-700-928,US,2020-10-01,2020,"Positive Electrode Active Material, Method for Manufacturing Positive Electrode Active Material, and Secondary Battery","Provided is a positive electrode active material for a lithium ion secondary battery having favorable cycle characteristics and high capacity. A covering layer containing aluminum and a covering layer containing magnesium are provided on a superficial portion of the positive electrode active material. The covering layer containing magnesium exists in a region closer to a particle surface than the covering layer containing aluminum is. The covering layer containing aluminum can be formed by a sol-gel method using an aluminum alkoxide. The covering layer containing magnesium can be formed as follows: magnesium and fluorine are mixed as a starting material and then subjected to heating after the sol-gel step, so that magnesium is segregated.",SEMICONDUCTOR ENERGY LAB,MOMMA YOHEI;;KAWAKAMI TAKAHIRO;;OCHIAI TERUAKI;;TAKAHASHI MASAHIRO,https://lens.org/085-735-695-700-928
9,092-659-952-689-072,EP,2017-04-05,2017,PARALLEL CHARGING AND POWER SUPPLY SYSTEM FOR PURE ELECTRIC VEHICLE,"A parallel charging and power supply system for a battery electric vehicle comprises a battery unit, a battery management system, a vehicle control unit, a motor controller and a motor, wherein a corresponding signal output end and a signal input end of the battery management system are respectively connected with a corresponding signal input end and a signal output end of the battery unit; the motor controller is respectively connected with a power output end of the battery unit, a power input end of the motor and a signal output end of the motor; a signal input end of the vehicle control unit is respectively connected with the corresponding signal output ends of the battery management system and the motor controller; the battery unit itself is provided with a conversion module for controlling the charging of the battery unit itself according to the commands of the battery management system, and a signal input end of the conversion module is connected with the corresponding signal output end of the battery management system; the power input end of the motor is connected with the power output end of the motor controller for obtaining electric energy and outputting the mechanical energy to drive the vehicle to travel; and the signal output end of the motor is connected with the corresponding signal input end of the motor controller. The parallel charging and power supply system for the battery electric vehicle of the present disclosure not only greatly increases the traveling mileage of the battery electric vehicle, but also possesses high safety, light weight, low price, and simple and quick charging.",ADVANCED HIGH POWER MULTI (ACT/XE) SOURCE ENERGY SCIENCE-TECH CO LTD,WANG XU,https://lens.org/092-659-952-689-072
10,129-311-800-485-787,US,2024-04-16,2024,Battery systems based on lithium difluorophosphate,"A nonaqueous electrolyte for a lithium ion battery includes a lithium salt, a first nonaqueous solvent, and an additive mixture comprising a first operative additive of lithium difluorophosphate and a second operative additive of either fluoro ethylene carbonate or vinylene carbonate. A lithium-ion battery includes a negative electrode, a positive electrode comprising NMC with micrometer-scale grains, a nonaqueous electrolyte having lithium ions dissolved in a first nonaqueous solvent, and an additive mixture having a first operative additive of either fluoro ethylene carbonate or vinylene carbonate and a second operative additive of either 1,3,2-dioxathiolane-2,2-dioxide, another sulfur-containing additive, or lithium difluorophosphate.",TESLA MOTORS CANADA ULC;;TESLA INC;;PANASONIC HOLDINGS CORP,MA LIN;;MA XIAOWEI;;GLAZIER STEPHEN LAURENCE;;LI JING;;DAHN JEFFERY RAYMOND,https://lens.org/129-311-800-485-787
11,129-813-676-861-908,US,2022-11-29,2022,"Positive electrode for nonaqueous secondary battery, method for forming the same, nonaqueous secondary battery, and electrical device","A positive electrode for a nonaqueous secondary battery including an active material layer which has sufficient electron conductivity with a low ratio of a conductive additive is provided. A positive electrode for a nonaqueous secondary battery including an active material layer which is highly filled with an active material, id est, including the active material and a low ratio of a conductive additive. The active material layer includes a plurality of particles of an active material with a layered rock salt structure, graphene that is in surface contact with the plurality of particles of the active material, and a binder.",SEMICONDUCTOR ENERGY LAB,KAWAKAMI TAKAHIRO;;YAMAKAJI MASAKI;;MOTOYOSHI MAKO;;YATABE RIKA,https://lens.org/129-813-676-861-908
12,139-067-421-160-377,US,2023-06-13,2023,Method for optimizing power distribution of fuel cell vehicle,"A rational fuel-cell power following strategy is made according to values such as vehicle fuel-cell power, battery power, and SOC (state of charge) of a lithium-ion battery; in the same time window, effects of different fuel-cell power growth rates on SOC of the lithium-ion battery are tested according to vehicle requirements; and at the same fuel-cell growth rate, effects of different time windows on SOC of the lithium-ion battery are tested according to vehicle requirements; a proper time window and a proper fuel-cell power change rate are found, so that the SOC value of the lithium-ion battery fluctuates within a certain range. The present invention can achieve a good operation mode of power distribution between the fuel cell and the lithium-ion battery, ensuring rational utilization of resources, thereby extending the application range of the lithium-ion battery to the maximum extent.",HIGER BUS CO LTD,FAN HAIMEI;;ZHANG WEI;;XIONG JINFENG;;SHI YUSHUAI,https://lens.org/139-067-421-160-377
